% compassObs.txt
% 
% This file contains heading observations taken from the Mantis UGV.  The
% observations are as recorded by a high end inertial system but are decimated to 0.5s.
%
% time(s) time(micro-seconds) heading(rad)
63543669178 198997 -1.703677
63543669178 699997 -1.703870
63543669179 209000 -1.703789
63543669179 719002 -1.703798
63543669180 219009 -1.703825
63543669180 720009 -1.703816
63543669181 228996 -1.703739
63543669181 739998 -1.703781
63543669182 249001 -1.703819
63543669182 759003 -1.703787
63543669183 260010 -1.703825
63543669183 769005 -1.703863
63543669184 278999 -1.703922
63543669184 779999 -1.704004
63543669185 288994 -1.703967
63543669185 798996 -1.704009
63543669186 299004 -1.704075
63543669186 799995 -1.710586
63543669187 308990 -1.703472
63543669187 818993 -1.715030
63543669188 319008 -1.726989
63543669188 820007 -1.741165
63543669189 329002 -1.756984
63543669189 838997 -1.867348
63543669190 339005 -1.933048
63543669190 840004 -1.940409
63543669191 348999 -1.923474
63543669191 860001 -1.870066
63543669192 368988 -1.814174
63543669192 878990 -1.733216
63543669193 378998 -1.599738
63543669193 879997 -1.426597
63543669194 389000 -1.253929
63543669194 899002 -1.049199
63543669195 399010 -0.854790
63543669195 900009 -0.675436
63543669196 408997 -0.507135
63543669196 909996 -0.339819
63543669197 410011 -0.283744
63543669197 920013 -0.236367
63543669198 429993 -0.204992
63543669198 939995 -0.187118
63543669199 440002 -0.136912
63543669199 949997 -0.032029
63543669200 459991 0.078411
63543669200 969994 0.200712
63543669201 470001 0.344621
63543669201 980003 0.498768
63543669202 489990 0.664658
63543669203 8 0.807995
63543669203 510010 0.977859
63543669204 10017 1.123930
63543669204 520012 1.279795
63543669205 23994 1.466266
63543669205 529991 1.554968
63543669206 29999 1.556506
63543669206 540001 1.570785
63543669207 49988 1.598052
63543669207 559990 1.610591
63543669208 59998 1.591090
63543669208 570000 1.561270
63543669209 80002 1.539446
63543669209 589996 1.506566
63543669210 90004 1.469930
63543669210 600006 1.427147
63543669211 110001 1.452658
63543669211 620003 1.532114
63543669212 129997 1.632357
63543669212 639999 1.654204
63543669213 140007 1.745764
63543669213 650009 1.863479
63543669214 159996 1.987017
63543669214 669998 2.124489
63543669215 180000 2.252683
63543669215 690002 2.338782
63543669216 199997 2.369146
63543669216 709999 2.314464
63543669217 211006 2.154004
63543669217 721008 1.980664
63543669218 231003 1.795530
63543669218 740997 1.620893
63543669219 250999 1.414154
63543669219 761002 1.221015
63543669220 261009 1.253152
63543669220 771004 1.464776
63543669221 279999 1.621859
63543669221 780998 1.825935
63543669222 290993 1.847145
63543669222 800995 1.816557
63543669223 301003 1.709756
63543669223 810997 1.533751
63543669224 320992 1.362438
63543669224 830994 1.184301
63543669225 331009 1.057090
63543669225 841011 1.058186
63543669226 350998 1.224120
63543669226 861000 1.508048
63543669227 361008 1.769591
63543669227 871010 2.041198
63543669228 380989 2.356858
63543669228 890991 2.672320
63543669229 390999 2.812224
63543669229 900002 2.960785
63543669230 401001 -3.118089
63543669230 911003 -2.876300
63543669231 420998 -2.652609
63543669231 931000 -2.659202
63543669232 431007 -2.658788
63543669232 941010 -2.660429
63543669233 450996 -2.661034
63543669233 960999 -2.660896
63543669234 461006 -2.660925
63543669234 971008 -2.660906
63543669235 480995 -2.660816
63543669235 990990 -2.660126
63543669236 490997 -2.585426
63543669236 991997 -2.403621
63543669237 501991 -2.245844
63543669238 1999 -2.161978
63543669238 512001 -2.044683
63543669239 21988 -1.872672
63543669239 531990 -1.681291
63543669240 31998 -1.647078
63543669240 542000 -1.393503
63543669241 42015 -1.132047
63543669241 552017 -0.878115
63543669242 59990 -0.639411
63543669242 561989 -0.487803
63543669243 61996 -0.436323
63543669243 571999 -0.457738
63543669244 82001 -0.475411
63543669244 592003 -0.503946
63543669245 99998 -0.540157
63543669245 601997 -0.583018
63543669246 111992 -0.621442
63543669246 619995 -0.630606
63543669247 122009 -0.641033
63543669247 632004 -0.640234
63543669248 141998 -0.636014
63543669248 652000 -0.630719
63543669249 161995 -0.612328
63543669249 671989 -0.557975
63543669250 172005 -0.448727
63543669250 682007 -0.373527
63543669251 192001 -0.496322
63543669251 702003 -0.612645
63543669252 211983 -0.786102
63543669252 721985 -0.986697
63543669253 222000 -1.219071
63543669253 732002 -1.482835
63543669254 232010 -1.746348
63543669254 742004 -1.993989
63543669255 251999 -2.133553
63543669255 762001 -2.275922
63543669256 263000 -2.463576
63543669256 773003 -2.631689
63543669257 273010 -2.733136
63543669257 783005 -2.864275
63543669258 292999 3.135150
63543669258 803001 2.925823
63543669259 312996 2.929907
63543669259 822998 2.970985
63543669260 333000 2.943598
63543669260 843002 2.995254
63543669261 352989 3.009643
63543669261 862991 3.003717
63543669262 363007 3.002030
63543669262 873009 3.002064
63543669263 382996 3.002073
63543669263 892998 3.002127
63543669264 393005 3.002149
63543669264 903008 3.002062
63543669265 412994 3.002147
63543669265 919991 3.002050
63543669266 422997 3.001992
63543669266 932999 3.001906
63543669267 443001 3.001899
63543669267 953003 3.001922
63543669268 462997 3.001798
63543669268 973000 3.001026
63543669269 473007 3.000937
63543669269 983009 3.000989
63543669270 492996 3.000985
63543669271 3014 3.001140
63543669271 513016 3.001216
63543669272 13992 3.001194
63543669272 522995 3.001212
63543669273 23003 3.001253
63543669273 532997 3.001332
63543669274 40001 3.001325
63543669274 542999 3.001311
63543669275 53001 3.001416
63543669275 562996 3.001485
63543669276 63995 3.001491
63543669276 573990 3.001581
63543669277 74005 3.001571
63543669277 580009 3.001510
63543669278 84000 3.001565
63543669278 594002 3.001521
63543669279 103989 3.001438
63543669279 613991 3.001388
63543669280 114006 3.001375
63543669280 624008 3.001388
63543669281 134003 3.001397
63543669281 643997 3.001225
63543669282 153999 3.001082
63543669282 664001 3.000866
63543669283 174004 3.000831
63543669283 683998 3.001002
63543669284 184006 3.001065
63543669284 694008 3.001103
63543669285 204002 3.001059
63543669285 713997 3.001017
63543669286 220001 3.001046
63543669286 723999 3.001136
63543669287 224007 3.001212
