% positionObs.txt
% 
% This file contains position observations taken from the Mantis UGV.  The
% observations are as returned from a GPS in UTM Northing/Easting.
%
% time(s) time(micro-seconds) X(m) Y(m)
63543669178 0 6205930.858240 559064.976921
63543669179 0 6205930.858020 559064.977016
63543669180 8 6205930.857990 559064.978745
63543669181 0 6205930.860990 559064.979770
63543669182 0 6205930.859360 559064.979188
63543669183 8 6205930.856970 559064.978049
63543669184 0 6205930.854500 559064.978668
63543669184 999992 6205930.856120 559064.979025
63543669186 0 6205930.858800 559064.976698
63543669186 999992 6205930.843720 559064.821155
63543669188 8 6205930.709120 559063.750337
63543669189 0 6205930.489210 559062.168980
63543669190 8 6205930.232560 559060.580053
63543669191 0 6205929.692710 559059.116944
63543669191 999992 6205929.163230 559057.653070
63543669193 0 6205928.778630 559056.167365
63543669194 0 6205928.670450 559054.620628
63543669195 8 6205929.007330 559053.188363
63543669196 0 6205929.843780 559052.051064
63543669197 15 6205930.968620 559051.287598
63543669197 999992 6205932.157270 559050.900419
63543669199 0 6205933.025780 559050.684774
63543669199 999992 6205934.110090 559050.533836
63543669201 0 6205935.145700 559050.479743
63543669201 999992 6205936.241930 559050.792053
63543669203 8 6205937.205100 559051.298872
63543669204 15 6205938.019470 559052.219497
63543669204 999992 6205938.418870 559053.202977
63543669206 0 6205938.498620 559054.560923
63543669206 999992 6205938.535070 559056.181919
63543669208 0 6205938.484560 559057.830731
63543669209 0 6205938.452110 559059.458054
63543669210 8 6205938.519770 559061.049125
63543669211 0 6205938.665360 559062.664610
63543669212 0 6205938.852060 559064.211603
63543669213 8 6205938.758730 559065.791847
63543669214 0 6205938.450990 559067.348456
63543669215 0 6205937.768600 559068.748908
63543669216 0 6205936.778910 559070.002235
63543669217 8 6205935.552500 559071.149433
63543669218 0 6205934.688440 559072.442311
63543669219 0 6205934.308750 559073.893515
63543669220 8 6205934.550770 559075.278682
63543669221 0 6205934.967470 559076.568559
63543669221 999992 6205934.824620 559077.965159
63543669223 0 6205934.364050 559079.452804
63543669223 999992 6205934.135740 559080.930349
63543669225 8 6205934.316920 559082.308553
63543669226 0 6205935.011960 559083.686005
63543669227 8 6205935.611610 559084.928718
63543669227 999992 6205935.469350 559086.412776
63543669229 0 6205934.642270 559087.611932
63543669230 0 6205933.311820 559088.224235
63543669231 0 6205931.707800 559088.314007
63543669232 8 6205930.460470 559088.135307
63543669233 0 6205930.070190 559087.915762
63543669234 8 6205929.982910 559087.553122
63543669234 999992 6205929.982920 559087.551761
63543669236 0 6205929.977670 559087.552389
63543669236 999992 6205929.543170 559087.348116
63543669238 0 6205928.606050 559086.371759
63543669238 999992 6205927.994340 559085.247213
63543669240 0 6205927.755870 559084.221395
63543669241 15 6205927.648340 559083.350990
63543669241 999992 6205928.120540 559082.389998
63543669243 0 6205929.024360 559081.737253
63543669244 0 6205930.088330 559081.253463
63543669245 0 6205931.117540 559080.700789
63543669245 999992 6205932.145150 559080.117261
63543669247 8 6205933.148060 559079.419017
63543669248 0 6205933.977330 559078.817618
63543669248 999992 6205934.790750 559078.186463
63543669250 8 6205935.425180 559077.675706
63543669251 0 6205936.158520 559077.329011
63543669251 999985 6205936.811150 559077.110050
63543669253 0 6205937.134380 559077.112175
63543669254 8 6205937.471470 559076.799868
63543669255 0 6205937.652300 559076.428258
63543669256 0 6205937.673680 559078.375931
63543669257 8 6205937.782620 559078.245045
63543669258 0 6205938.073050 559076.155943
63543669259 0 6205937.795370 559076.055673
63543669260 0 6205937.803820 559076.074523
63543669260 999992 6205937.591490 559076.142296
63543669262 8 6205937.652930 559076.124711
63543669263 0 6205937.650730 559076.125854
63543669264 8 6205937.651000 559076.126393
63543669264 999992 6205937.649190 559076.125465
63543669266 0 6205937.650910 559076.125108
63543669267 0 6205937.646590 559076.126311
63543669268 0 6205937.651440 559076.127178
63543669269 8 6205937.655310 559076.127992
63543669270 0 6205937.652360 559076.128067
63543669271 15 6205937.646850 559076.129348
63543669271 999992 6205937.651340 559076.123696
63543669273 0 6205937.648400 559076.126409
63543669274 0 6205937.646330 559076.124362
63543669275 0 6205937.641090 559076.126301
63543669275 999992 6205937.647630 559076.123831
63543669277 8 6205937.650060 559076.124537
63543669278 0 6205937.649140 559076.123486
63543669278 999992 6205937.648820 559076.124564
63543669280 8 6205937.650480 559076.129855
63543669281 0 6205937.647880 559076.130582
63543669282 0 6205937.649080 559076.130149
63543669283 0 6205937.645500 559076.133956
63543669284 8 6205937.645370 559076.131849
63543669285 0 6205937.648720 559076.130214
63543669286 0 6205937.647790 559076.127379
63543669287 8 6205937.643150 559076.129396
